"AcademicYear","AcademicYearDesc","AcademicYearDesc2","StartDate","EndDate","EffectiveFrom","EffectiveTo"
"1314","2013/2014","13/14","01 Aug 2013","31 Jul 2014","01 Apr 2013",""
"1415","2014/2015","14/15","01 Aug 2014","31 Jul 2015","01 Apr 2014",""
"1516","2015/2016","15/16","01 Aug 2015","31 Jul 2016","01 Feb 2015",""
"1617","2016/2017","16/17","01 Aug 2016","31 Jul 2017","20 Apr 2016",""
"1718","2017/2018","17/18","01 Aug 2017","31 Jul 2018","10 Apr 2017",""
"1819","2018/2019","18/19","01 Aug 2018","31 Jul 2019","01 Apr 2018",""
"1920","2019/2020","19/20","01 Aug 2019","31 Jul 2020","01 Apr 2019",""
"2021","2020/2021","20/21","01 Aug 2020","31 Jul 2021","01 Apr 2020",""
"2122","2021/2022","22/22","01 Aug 2021","31 Jul 2022","01 Apr 2021",""
"2223","2022/2023","22/23","01 Aug 2022","31 Jul 2023","01 Apr 2022",""
"2324","2023/2024","23/24","01 Aug 2023","31 Jul 2024","01 Apr 2023",""
"2425","2024/2025","24/25","01 Aug 2024","31 Jul 2025","01 Apr 2024",""
"2526","2025/2026","25/26","01 Aug 2025","31 Jul 2026","01 Apr 2025",""
