"ApprenticeshipComponentType","ApprenticeshipComponentTypeDesc","ApprenticeshipComponentTypeDesc2","EffectiveFrom","EffectiveTo"
"-2","Not Applicable","NA","26 Mar 2001",""
"-1","Unknown","Unknown","01 Aug 2008",""
"1","Competency Element within an Apprenticeship","Competency Element","01 Aug 2008",""
"2","Knowledge Element within an Apprenticeship","Knowledge Element","01 Aug 2008",""
"3","Aim Suitable as a Main Aim or Technical Certificate within an Apprenticeship","Main Aim/  Tech Cert","10 Jul 2012",""
"101","Principal Learning within Diploma","Principal Learning","01 Aug 2008",""
"102","Diploma Qualification","Diploma Qual","01 Aug 2008",""
"201","Personal and Social Development within a Progression Pathway","Personal & Social Dev","01 Aug 2008",""
"202","Vocational Learning within a Progression Pathway","Vocational Learning","01 Aug 2008",""
"203","Combination of Personal and Social Development and Vocational learning within a Progression Pathway","Pers, Soc Dev & Voc Learn","01 Aug 2008",""
"205","Language","Language","21 Aug 2009",""
"206","Subject","Subject","09 Sep 2010",""
"301","Standard-Regulatory Requirement-Occupational Competency","Standard-Regulatory Requirement-Occupational Competency","01 Aug 2017",""
"302","Standard-Regulatory Requirement-Technical certificates for standards","Standard-Regulatory Requirement-Technical certificates for standard","01 Aug 2017",""
"303","Standard-Regulatory Requirement-Short awards","Standard-Regulatory Requirement-Short awards","01 Aug 2017",""
"304","Standard-Professional Requirement-Occupational Competence","Standard-Professional Requirement-Occupational Competence","01 Aug 2017",""
"305","Standard-Professional Requirement-Technical certificates for standards","Standard-Professional Requirement-Technical certificates for standards","01 Aug 2017",""
"306","Standard-Professional Requirement-Short awards","Standard-Professional Requirement-Short awards","01 Aug 2017",""
"307","Standard-requirement to enter the role-Occupational Competency","Standard-requirement to enter the role-Occupational Competency","01 Aug 2017",""
"308","Standard-requirement to enter the role-Technical certificates for standards","Standard-requirement to enter the role-Technical certificates for standards","01 Aug 2017",""
"309","Standard-requirement to enter the role-Short awards","Standard-requirement to enter the role-Short awards","01 Aug 2017",""
"399","Standard-Multiple Requirements-refer to Category Codes","Standard-Multiple Requirements-refer to Category Codes","01 Aug 2017",""
"400","T Level Technical Qualification","T Level Technical Qualification","01 Aug 2019",""
"401","T Level Occupational Specialism","T Level Occupational Specialism","01 Aug 2019",""
"402","T Level Industry Placement","T Level Industry Placement","01 Aug 2019",""
"403","T Level Other Requirements","T Level Other Requirements","01 Aug 2019",""
