"ApprenticeshipType","ApprenticeshipCode","ProgType","PwayCode","FundingCategory","EffectiveFrom","EffectiveTo","BandNumber","CoreGovContributionCap","1618Incentive","1618ProviderAdditionalPayment","1618EmployerAdditionalPayment","1618FrameworkUplift","Duration","CareLeaverAdditionalPayment","ReservedValue2","ReservedValue3","MaxEmployerLevyCap","FundableWithoutEmployer","Created_On","Created_By","Modified_On","Modified_By"
"FWK","403","2","1","App_May_2017","01 May 2017","","12","0.00000","3800.00000","1000.00000","1000.00000","1800.00000","12.00000","1000.00000","","","9000.00000","N","18 Nov 2016","chamleype","17 Jul 2018","SGUINIVAN"
"FWK","403","2","2","App_May_2017","01 May 2017","","12","0.00000","3800.00000","1000.00000","1000.00000","1800.00000","12.00000","1000.00000","","","9000.00000","N","18 Nov 2016","chamleype","17 Jul 2018","SGUINIVAN"
"FWK","403","2","3","App_May_2017","01 May 2017","","9","0.00000","3200.00000","1000.00000","1000.00000","1200.00000","12.00000","1000.00000","","","6000.00000","N","18 Nov 2016","chamleype","17 Jul 2018","SGUINIVAN"
"FWK","403","2","4","App_May_2017","01 May 2017","","9","0.00000","3200.00000","1000.00000","1000.00000","1200.00000","12.00000","1000.00000","","","6000.00000","N","18 Nov 2016","chamleype","17 Jul 2018","SGUINIVAN"
"FWK","403","2","5","App_May_2017","01 May 2017","","9","0.00000","3200.00000","1000.00000","1000.00000","1200.00000","12.00000","1000.00000","","","6000.00000","N","18 Nov 2016","chamleype","17 Jul 2018","SGUINIVAN"
"FWK","403","2","7","App_May_2017","01 May 2017","31 Jul 2018","8","0.00000","3200.00000","1000.00000","1000.00000","1200.00000","12.00000","1000.00000","","","6000.00000","N","18 Nov 2016","chamleype","17 Jul 2018","SGUINIVAN"
"FWK","403","2","7","App_May_2017","01 Aug 2018","","9","0.00000","3200.00000","1000.00000","1000.00000","1200.00000","12.00000","1000.00000","","","6000.00000","N","17 Jul 2018","SGUINIVAN","17 Jul 2018","SGUINIVAN"
"FWK","403","3","1","App_May_2017","01 May 2017","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","403","3","2","App_May_2017","01 May 2017","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","403","3","3","App_May_2017","01 May 2017","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","403","3","4","App_May_2017","01 May 2017","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","403","3","5","App_May_2017","01 May 2017","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","403","3","6","App_May_2017","01 May 2017","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","403","3","7","App_May_2017","01 May 2017","31 Jul 2018","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","17 Jul 2018","SGUINIVAN"
"FWK","403","3","7","App_May_2017","01 Aug 2018","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","17 Jul 2018","SGUINIVAN","17 Jul 2018","SGUINIVAN"
"FWK","403","3","8","App_May_2017","01 May 2017","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","403","3","9","App_May_2017","01 May 2017","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","403","3","10","App_May_2017","01 May 2017","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","403","3","11","App_May_2017","01 May 2017","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","404","2","1","App_May_2017","01 May 2017","","3","0.00000","2500.00000","1000.00000","1000.00000","500.00000","12.00000","1000.00000","","","2500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","404","3","1","App_May_2017","01 May 2017","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","405","2","1","App_May_2017","01 May 2017","","9","0.00000","3200.00000","1000.00000","1000.00000","1200.00000","18.00000","1000.00000","","","6000.00000","N","18 Nov 2016","chamleype","19 Jul 2018","KFISHER"
"FWK","405","3","1","App_May_2017","01 May 2017","","4","0.00000","2600.00000","1000.00000","1000.00000","600.00000","12.00000","1000.00000","","","3000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","406","2","1","App_May_2017","01 May 2017","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","406","3","1","App_May_2017","01 May 2017","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","407","2","1","App_May_2017","01 May 2017","","3","0.00000","2500.00000","1000.00000","1000.00000","500.00000","14.00000","1000.00000","","","2500.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","408","2","1","App_May_2017","01 May 2017","","4","0.00000","2600.00000","1000.00000","1000.00000","600.00000","12.00000","1000.00000","","","3000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","408","2","2","App_May_2017","01 May 2017","","4","0.00000","2600.00000","1000.00000","1000.00000","600.00000","12.00000","1000.00000","","","3000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","408","2","3","App_May_2017","01 May 2017","","4","0.00000","2600.00000","1000.00000","1000.00000","600.00000","12.00000","1000.00000","","","3000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","408","3","1","App_May_2017","01 May 2017","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","408","3","2","App_May_2017","01 May 2017","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","408","3","3","App_May_2017","01 May 2017","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","18 May 2018","SGUINIVAN"
"FWK","409","2","1","App_May_2017","01 May 2017","","4","0.00000","2600.00000","1000.00000","1000.00000","600.00000","24.00000","1000.00000","","","3000.00000","N","06 Jan 2017","robinsonsar","18 May 2018","SGUINIVAN"
"FWK","410","2","1","App_May_2017","01 May 2017","31 Jul 2018","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","16 Jul 2018","SGUINIVAN"
"FWK","410","2","1","App_May_2017","01 Aug 2018","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","16 Jul 2018","SGUINIVAN","16 Jul 2018","SGUINIVAN"
"FWK","410","3","1","App_May_2017","01 May 2017","31 Jul 2018","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","16 Jul 2018","SGUINIVAN"
"FWK","410","3","1","App_May_2017","01 Aug 2018","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","16 Jul 2018","SGUINIVAN","16 Jul 2018","SGUINIVAN"
"FWK","412","2","1","App_May_2017","01 May 2017","31 Jul 2018","3","0.00000","2500.00000","1000.00000","1000.00000","500.00000","12.00000","1000.00000","","","2500.00000","N","18 Nov 2016","chamleype","16 Jul 2018","SGUINIVAN"
"FWK","412","2","1","App_May_2017","01 Aug 2018","","3","0.00000","2500.00000","1000.00000","1000.00000","500.00000","12.00000","1000.00000","","","2500.00000","N","16 Jul 2018","SGUINIVAN","16 Jul 2018","SGUINIVAN"
"FWK","412","3","1","App_May_2017","01 May 2017","31 Jul 2018","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","18 Nov 2016","chamleype","16 Jul 2018","SGUINIVAN"
"FWK","412","3","1","App_May_2017","01 Aug 2018","","1","0.00000","2300.00000","1000.00000","1000.00000","300.00000","12.00000","1000.00000","","","1500.00000","N","16 Jul 2018","SGUINIVAN","16 Jul 2018","SGUINIVAN"
"FWK","413","3","1","App_May_2017","01 May 2017","31 Jul 2018","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","18 Nov 2016","chamleype","16 Jul 2018","SGUINIVAN"
"FWK","413","3","1","App_May_2017","01 Aug 2018","","2","0.00000","2400.00000","1000.00000","1000.00000","400.00000","12.00000","1000.00000","","","2000.00000","N","16 Jul 2018","SGUINIVAN","16 Jul 2018","SGUINIVAN"
