"AwardOrgCode","AwardOrgUKPRN","AwardOrgName","AwardOrgShortName","AwardOrgAcronym","AwardOrgNonExtant","AwardOrgNotes","AwardOrgHigherEducationInstitution","EffectiveFrom","EffectiveTo"
"AABPS","10036618","Accrediting and Assessment Bureau for Post-Secondary Schools","","","N","","N","01 Oct 2010",""
"AAT","10022663","Association of Accounting Technicians","Assoc.of Accounting Technic'ns","AAT","N","","N","26 Mar 2001",""
"ABBE","10022665","Awarding Body for the Built Environment","Award Bod Built Env","ABBE","N","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001",""
"ABC","10022660","Skills and Education Group Awards","SEGA","ABC","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ABCC","90000531","Association of British Cycling Coaches","Association of British Cycling","ABCC","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ABDO","10000047","Association of British Dispensing Opticians","Ass Brit Dispensing Opticians","ABDO","N","","N","26 Mar 2001",""
"ABE","10022664","Association of Business Executives","Assoc Business Executives","ABE","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ABMA","10036621","ABMA Education Ltd","ABMA Ed","ABMA","N","KT 20200220: Mod","N","01 Dec 2011",""
"ABRS","10043177","Association of British Riding Schools","Assoc British Riding Schools","ABRS","N","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001",""
"ABRSM","10021870","Associated Board of the Royal Schools of Music","Ass Board Roy Schools of Music","ABRSM","N","","N","26 Mar 2001",""
"ACC","","Animal Care College","Animal Care College","ACC","Y","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001","20 Feb 2020"
"ACCA","10010201","Association of Chartered Certified Accountants","","ACCA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ACTIVEIQ","10022661","Active IQ","Active IQ","ACTIVEIQ","N","AB. 20071023 Mod KT 20200220: Mod","N","01 Jun 2004",""
"AENA","","All England Netball Association Ltd","","AENA","Y","See EN award organisation code","N","26 Mar 2001","27 Oct 2004"
"AIA","10036630","Association of International Accountants","","","N","","N","01 Feb 2012",""
"AIMAWARD","10032760","Aim Qualifications","Aim Qual","","N","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001",""
"AMERC","90000580","Association of Marine Electronic and Radio Colleges","","AMERC","N","KT 20200220: Mod","N","26 Mar 2001",""
"AMI","90000551","Association Montessori Internationale (AMI)","","","N","","N","26 Mar 2001",""
"AMSPAR","10022710","Assoc of Medical Secretaries/Practice Managers/Administrators & Recept","","AMSPAR","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"AMTRA","90000564","Animal Medicines Training Regulatory Authority","","AMTRA","N","","N","26 Mar 2001",""
"ANM","10029618","Association of Natural Medicine","","ANM","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"AOFAQ","10036620","AoFA Qualifications","","","N","","N","01 Jun 2011",""
"APS","","Association of Professional Sales","Assoc. Pro Sales","APS","N","","N","19 Jun 2019",""
"APTAWARD","","apt awards (Formerly Open College Network South West Region)","","OCNSWR","Y","","N","01 Jan 2006","31 Jul 2015"
"APTED","","AptEd","","","Y","","N","01 Aug 2015","31 Oct 2015"
"APU","10000291","Anglia Ruskin University","Anglia Ruskin University","APU","N","","Y","26 Mar 2001",""
"AQA","10020071","AQA Education","AQA Ed","AQA","N","KT 20200220: Mod","N","26 Mar 2001",""
"AQACG","","AQA / City and Guilds","","","Y","KT 20200220: Mod","N","01 Jan 2008","20 Feb 2020"
"AR","90000532","Association of Reflexologists","Assoc Reflexologists","AoR","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ARA","10027646","Amateur Rowing Association","","ARA","N","","N","26 Mar 2001",""
"ARDU","10005451","Arden University","Arden University","ARDU","N","","Y","01 Aug 2019",""
"ASA","10013106","Institute of Swimming Ltd","","","N","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001",""
"ASCENTIS","10026027","Ascentis","","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ASDAN","10022662","Award Scheme Development and Accreditation Network","ASDAN","ASDAN","N","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001",""
"ASFI","","Accredited Skills for Industry","","","Y","KT 20200220: Mod","N","01 Jul 2010","20 Feb 2020"
"ASHBUSNS","","The Ashridge (BONAR LAW MEMORIAL) Trust","","","Y","KT 09/07/2020: Mod","N","01 Oct 2014",""
"ASHRIDGE","10008899","Ashridge","","","N","","Y","01 Aug 2016",""
"ASME","90000601","American Society of Mechanical Engineers","ASME","ASME","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ASQ","10032976","Associated Sports Qualifications","Assoc Sports Quals","ASQ","N","KT 20200220: Mod","N","01 Sep 2007",""
"ASTONUNI","10007759","Aston University","Aston University","ASTONUNI","N","","Y","01 Jul 2006",""
"ATHE","10036379","ATHE Ltd","","","N","","N","01 Aug 2011",""
"ATT","90000591","Association of Taxation Technicians (The)","Assoc of Taxation Technicians","ATT","N","","N","26 Mar 2001",""
"AUB","10000385","Arts University Bournemouth","","","N","","Y","01 Sep 2014",""
"AVA","10030453","Awarding Body for Vocational Achievement Ltd","","","N","","N","01 Jan 2011",""
"BAA","","British Awarding Association","","","N","Changed from Awarding Body for Vocational Achievement Ltd in March 2017 KT 20200220: Mod","N","01 Jan 2011","20 Feb 2020"
"BAGA","10022668","British Gymnastics","British Gymnastics","","N","","N","26 Mar 2001","01 Feb 2011"
"BASC","10013170","British Association for Shooting and Conservation","Brit Assoc for Shoot and Cons","BASC","N","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001",""
"BASI","90000587","British Association of Snowsport Instructors","","BASI","N","KT 20200220: Mod","N","26 Mar 2001",""
"BASSC","90000602","British Academy of Stage and Screen Combat","","","N","KT 20200220: Mod","N","26 Mar 2001",""
"BATFC","10000754","Blackpool and The Fylde College","Blackpool-The Fylde College","BATFC","N","","Y","02 Nov 2017",""
"BATHSPA","10000571","Bath Spa University","Bath Spa","BATHSPA","N","","Y","30 Jul 2004",""
"BBA","90000584","British Beekeepers' Association","British Beekeepers Association","BBA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"BBO","10022667","British Ballet Organisation","","BBO","N","","N","26 Mar 2001",""
"BCS","10022712","BCS - The Chartered Institute for IT","","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"BCU","10010292","British Canoeing","British Canoeing","","N","KT 20200220: Mod","N","26 Mar 2001",""
"BCUNIV","10007140","Birmingham City University","","","N","","Y","26 Mar 2001",""
"BDRIVS","10018894","British Driving Society","","BDS","N","","N","26 Mar 2001",""
"BDS","90000521","British Display Society","","BDS","N","","N","26 Mar 2001",""
"BFCL","90000556","Blue Flame Certification Ltd","","BFCL","N","KT 20200220: Mod","N","01 Jan 2007",""
"BG","","BG Group","British Gas","","Y","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001","10 Mar 2020"
"BHSQ","10022680","The British Horse Society Qualifications Limited","BHSQ","BHSQ","N","","N","26 Mar 2001",""
"BHTB","10022669","Racing to School","British Horseracing Training B","BHTB","N","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001",""
"BICS","10009708","British Institute of Cleaning Science","Brit Inst of Cleaning Science","BICS","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"BIFM","10029857","Institute of Workplace and Facilities Management","","BIFM","N","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001",""
"BIIAB","10036631","BIIAB","","","N","","N","26 Mar 2001",""
"BIPP","90000563","British Institute of Professional Photography","","BIPP","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"BISHOPG","10007811","Bishop Grosseteste University","","","N","","Y","10 Sep 2009",""
"BNU","10000824","Bournemouth University","","","N","","Y","26 Mar 2001",""
"BOF","10029685","British Orienteering Federation","","BOF","N","","N","26 Mar 2001",""
"BOLTONIN","10006841","University of Bolton","University of Bolton","","N","","Y","06 Sep 2004",""
"BPA","","British Powerlifting Association","","","Y","See GBPF award organisation code","N","26 Mar 2001","31 Jul 2015"
"BPEC","","British Plumbing Employers Council","","","Y","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001","24 Mar 2020"
"BPECT","10032878","BPEC Certification Limited","Brit Plumbing Employers Cncl","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"BPICS","","Institute of Operations Management","Inst Operations Management","IOM","Y","EZ 0607AU: VT: Mod KT 20200220: Mod","N","26 Mar 2001","24 Mar 2020"
"BPIF","10000929","British Printing Industries Federation Training Organisation","Brit Printing Industries Fedn","BPIF","N","","N","26 Mar 2001",""
"BSCA","90000511","British Schools Cycling Association","","BSCA","N","","N","26 Mar 2001",""
