"LearnAimRef","AreaCode","EffectiveFrom","EffectiveTo","MaxLoanAmount","SubsidyPercent","SubsidyRate","Created_On","Created_By","Modified_On","Modified_By"
"50062438","HEARTSW","01 Aug 2018","31 Jul 2019","1417.00000","0.25000","354.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"5006485X","WMIDS","01 Aug 2018","31 Jul 2019","1987.00000","0.25000","497.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50071403","LEEDSCITY","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50071403","STOKESTAFFS","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50078410","HEARTSW","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50078410","WMIDS","01 Aug 2018","31 Jul 2019","3345.00000","1.00000","3345.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50091475","LEEDSCITY","01 Aug 2018","31 Jul 2019","3345.00000","1.00000","3345.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50094397","GTRLINC","01 Aug 2018","31 Jul 2019","3345.00000","1.00000","3345.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50097829","GTRLINC","01 Aug 2018","31 Jul 2019","1246.00000","1.00000","1246.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50098639","GTRLINC","01 Aug 2018","31 Jul 2019","2573.00000","1.00000","2573.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50107598","STOKESTAFFS","01 Aug 2018","31 Jul 2019","1265.00000","0.75000","949.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50111309","LEEDSCITY","01 Aug 2018","31 Jul 2019","5421.00000","0.75000","4066.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50111309","WMIDS","01 Aug 2018","31 Jul 2019","5421.00000","1.00000","5421.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"50123440","GTRLINC","01 Aug 2018","31 Jul 2019","1645.00000","1.00000","1645.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60008611","GTRLINC","01 Aug 2018","31 Jul 2019","2583.00000","0.25000","646.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60008611","STOKESTAFFS","01 Aug 2018","31 Jul 2019","2583.00000","0.75000","1937.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60008945","LEEDSCITY","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
