"FworkCode","ProgType","PwayCode","PathwayName","EffectiveFrom","EffectiveTo","SectorSubjectAreaTier1","SectorSubjectAreaTier2","NASTitle","ImplementDate","IssuingAuthorityTitle","IssuingAuthority","DataReceivedDate","MI_FullLevel2","MI_FullLevel2Percent","MI_FullLevel3","MI_FullLevel3Percent","CurrentVersion","Created_On","Created_By","Modified_On","Modified_By"
"11","15","0","Construction and the Built Environment","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Construction and the Built Environment","05 Mar 2015","Construction and the Built Environment - Diploma Level 1 (Foundation)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"11","16","0","Construction and the Built Environment","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Construction and the Built Environment","05 Mar 2015","Construction and the Built Environment - Diploma Level 2 (Higher)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"11","17","0","Construction and the Built Environment","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Construction and the Built Environment","05 Mar 2015","Construction and the Built Environment - Diploma Level 3 (Progression)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"11","18","0","Construction and the Built Environment","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Construction and the Built Environment","05 Mar 2015","Construction and the Built Environment - Diploma Level 3 (Advanced)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"12","15","0","Creative and Media","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Creative and Media","05 Mar 2015","Creative and Media - Diploma Level 1 (Foundation)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"12","16","0","Creative and Media","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Creative and Media","05 Mar 2015","Creative and Media - Diploma Level 2 (Higher)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"12","17","0","Creative and Media","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Creative and Media","05 Mar 2015","Creative and Media - Diploma Level 3 (Progression)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"12","18","0","Creative and Media","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Creative and Media","05 Mar 2015","Creative and Media - Diploma Level 3 (Advanced)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"13","15","0","Engineering","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Engineering","05 Mar 2015","Engineering - Diploma Level 1 (Foundation)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"13","16","0","Engineering","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Engineering","05 Mar 2015","Engineering - Diploma Level 2 (Higher)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"13","17","0","Engineering","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Engineering","05 Mar 2015","Engineering - Diploma Level 3 (Progression)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"13","18","0","Engineering","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Engineering","05 Mar 2015","Engineering - Diploma Level 3 (Advanced)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"14","15","0","Information Technology","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Information Technology","05 Mar 2015","Information Technology - Diploma Level 1 (Foundation)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"14","16","0","Information Technology","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Information Technology","05 Mar 2015","Information Technology - Diploma Level 2 (Higher)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
"14","17","0","Information Technology","01 Sep 2008","31 Jul 2015","-1.00","-1.00","Information Technology","05 Mar 2015","Information Technology - Diploma Level 3 (Progression)","-1","05 Mar 2015","0","0.00","0","0.00","0","03 Feb 2014","suttonf","22 Apr 2015","System"
