"FworkCode","ProgType","PwayCode","LearnAimRef","EffectiveFrom","EffectiveTo","FrameworkComponentType","Created_On","Created_By","Modified_On","Modified_By"
"101","2","0","10024323","01 Jan 2002","31 Jul 2009","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"101","2","0","10024347","01 Jan 2002","31 Jul 2009","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"101","2","0","10024591","01 Jan 2002","31 Jul 2009","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"101","2","0","1003108X","16 Oct 2003","31 Jul 2009","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"101","2","0","50062244","01 Aug 2009","31 Jul 2010","1","03 Feb 2014","suttonf","04 Dec 2015","guinivas"
"102","2","0","10031029","29 Oct 2003","01 Aug 2005","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10042581","01 Jun 2005","31 Jul 2010","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10049496","01 Aug 2005","31 Jul 2010","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10051946","01 Aug 2005","31 Jul 2010","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10051995","01 Aug 2005","31 Jul 2010","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","1005215X","01 Aug 2005","31 Jul 2010","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10052185","01 Aug 2005","31 Jul 2010","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10053116","01 Aug 2005","31 Jul 2010","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10056191","01 Aug 2005","31 Jul 2010","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10057912","01 Aug 2005","31 Jul 2007","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10058527","01 Jan 2006","31 Jul 2010","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10060960","01 Nov 2006","31 Jul 2010","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","50015175","01 Jan 2008","31 Jul 2010","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","5001738X","01 Jan 2008","06 Sep 2009","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","50017883","01 Aug 2007","31 Jul 2010","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","50019053","01 Jan 2008","31 Dec 2008","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","50025284","01 Jan 2008","31 Jul 2010","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","50039830","01 Aug 2008","31 Jul 2010","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","50062505","07 Sep 2009","31 Jul 2010","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","50066821","07 Sep 2009","24 Jun 2011","2","03 Feb 2014","suttonf","30 Nov 2017","GOODMAND"
"102","2","0","50067771","07 Sep 2009","24 Jun 2011","2","03 Feb 2014","suttonf","30 Nov 2017","GOODMAND"
"102","2","0","50092467","01 Aug 2010","24 Jun 2011","2","03 Feb 2014","suttonf","30 Nov 2017","GOODMAND"
"102","2","0","50093022","01 Aug 2010","24 Jun 2011","1","03 Feb 2014","suttonf","30 Nov 2017","GOODMAND"
"102","2","0","50093435","01 Aug 2010","24 Jun 2011","2","03 Feb 2014","suttonf","30 Nov 2017","GOODMAND"
"102","2","0","5009421X","01 Aug 2010","24 Jun 2011","1","03 Feb 2014","suttonf","30 Nov 2017","GOODMAND"
"102","2","0","50094609","01 Aug 2010","24 Jun 2011","1","03 Feb 2014","suttonf","30 Nov 2017","GOODMAND"
"102","2","0","50095481","01 Aug 2010","24 Jun 2011","1","03 Feb 2014","suttonf","30 Nov 2017","GOODMAND"
