"FworkCode","ProgType","PwayCode","CommonComponent","EffectiveFrom","EffectiveTo","MinLevel","Created_On","Created_By","Modified_On","Modified_By"
"101","2","0","1","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"101","2","0","2","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"101","2","0","3","01 Aug 2013","","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"101","2","0","10","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"101","2","0","11","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"101","2","0","12","01 Aug 2013","","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","1","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","2","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","10","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"102","2","0","11","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"103","2","0","1","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"103","2","0","2","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"103","2","0","3","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"103","2","0","10","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"103","2","0","11","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"103","2","0","12","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"104","2","0","1","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"104","2","0","2","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"104","2","0","10","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"104","2","0","11","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"105","2","0","1","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"105","2","0","2","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"105","2","0","3","01 Aug 2013","","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"105","2","0","10","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"105","2","0","11","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"105","2","0","12","01 Aug 2013","","1","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"106","2","0","1","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"106","2","0","2","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"106","2","0","3","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"106","2","0","4","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"106","2","0","5","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"106","2","0","10","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"106","2","0","11","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"106","2","0","12","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"107","2","0","1","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"107","2","0","2","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"107","2","0","3","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"107","2","0","10","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"107","2","0","11","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"107","2","0","12","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"111","2","0","1","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"111","2","0","2","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"111","2","0","3","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"111","2","0","10","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"111","2","0","11","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"111","2","0","12","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
"112","2","0","1","01 Aug 2013","","2","03 Feb 2014","suttonf","03 Feb 2014","suttonf"
