"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"A","Business / Management / Office Studies","Bus/ Mngm/ Office Stud","26 Mar 2001",""
"AA.","Business / Finance","Bus/ Fin","26 Mar 2001",""
"AA.1","Business World","Bus World","26 Mar 2001",""
"AA.12","International Trade (Overview)","Int Trade (Overview)","26 Mar 2001",""
"AA.3","Business Studies","Bus Stud","26 Mar 2001",""
"AA.31","Mba","Mba","01 Aug 2006",""
"AA.4","Business and Finance","Bus & Fin","26 Mar 2001",""
"AB.","Management (General)","Mngm (Gen)","26 Mar 2001",""
"AB.1","Management Studies / Science","Mngm Stud/ Sci","26 Mar 2001",""
"AB.2","Administrative Management","Administrative Mngm","26 Mar 2001",""
"AB.21","Chartered Secretaries","Chartered Secretaries","26 Mar 2001",""
"AB.22","Management Services","Mngm Svc","26 Mar 2001",""
"AB.3","Company Directorship","Company Dirship","26 Mar 2001",""
"AB.4","Business Consultancy Practice","Bus Cons Prac","26 Mar 2001",""
"AB.5","Business Counselling","Bus Cnslg","26 Mar 2001",""
"AB.6","Entrepreneurship","Entrepreneurship","26 Mar 2001",""
"AB.7","Industrial Management","Ind Mngm","26 Mar 2001",""
"AB.8","Non Profit Organisations Management","Non Prft Orgs Mngm","26 Mar 2001",""
"AB.84","Charities Management","Charities Mngm","26 Mar 2001",""
"AB.85","Church / Religious Bodies Management","Ch/ Rel Bodies Mngm","26 Mar 2001",""
"AB.88","Voluntary Organisations Management","Voluntary Orgs Mngm","26 Mar 2001",""
"AC.","Public Administration","Pub Admin","26 Mar 2001",""
"AD.","International Business Studies","Int Bus Stud","26 Mar 2001",""
"AD.2","Europe Business Studies","Euro Bus Stud","26 Mar 2001",""
"AD.3","Europe Business Studies Specific Countries","Euro Bus Stud Spec Cntr","26 Mar 2001",""
"AD.4","Middle East Business Studies","Mid E Bus Stud","26 Mar 2001",""
"AD.5","Africa Business Studies","Africa Bus Stud","26 Mar 2001",""
"AD.6","Americas Business Studies","Americas Bus Stud","26 Mar 2001",""
"AD.7","Asia Business Studies","Asia Bus Stud","26 Mar 2001",""
"AD.8","Australasia / Austronesia Business Studies","Austral/ Austron Bus Stud","26 Mar 2001",""
"AD.9","International Business Briefings","Int Bus Briefings","26 Mar 2001",""
"AE.","Enterprises","Ents","26 Mar 2001",""
"AE.2","Cooperatives","Coops","26 Mar 2001",""
"AE.3","Self Employment","Self Emp","26 Mar 2001",""
"AE.31","Freelance Working","Freelance Wrk","26 Mar 2001",""
"AE.4","Business Start-Up","Bus Start-Up","26 Mar 2001",""
"AE.41","Business Plans New Businesses","Bus Plans New Buses","26 Mar 2001",""
"AE.42","Business Proposals Preparation","Bus Proposals Prep","26 Mar 2001",""
"AE.5","Small Business Management","Small Bus Mngm","26 Mar 2001",""
"AE.52","Small Business Operations","Small Bus Ops","26 Mar 2001",""
"AE.53","Small Business Personnel","Small Bus Personnel","26 Mar 2001",""
"AE.54","Small Business Finance","Small Bus Fin","26 Mar 2001",""
"AE.55","Small Business Marketing","Small Bus Mkting","26 Mar 2001",""
"AE.6","Joint Ventures","Joint Ventures","26 Mar 2001",""
"AE.7","Business Mergers / Acquisitions","Bus Mergers/ Acqstns","26 Mar 2001",""
"AE.71","Business Transfer","Bus Trnsf","26 Mar 2001",""
"AE.8","Business Development","Bus Dev","26 Mar 2001",""
"AF.","Management Skills (Specific)","Mngmskl (Spec)","26 Mar 2001",""
"AF.1","Management Ethics","Mngm Ethics","26 Mar 2001",""
"AF.2","Personal Development (Business)","Pers Dev (Bus)","26 Mar 2001",""
"AF.21","Self Management (Business)","Self Mngm (Bus)","26 Mar 2001",""
"AF.23","Self Appraisal (Business)","Self Appraisal (Bus)","26 Mar 2001",""
"AF.24","Self Motivation (Business)","Self Motivation (Bus)","26 Mar 2001",""
"AF.25","Stress Management (Business)","Stress Mngm (Bus)","26 Mar 2001",""
"AF.26","Time Management (Business)","Time Mngm (Bus)","26 Mar 2001",""
"AF.3","Business Communication Skills","Bus Commskl","26 Mar 2001",""
"AF.32","Letter Writing (Business)","Letter Writing (Bus)","26 Mar 2001",""
"AF.34","Presentation Skills (Business)","Presskl (Bus)","26 Mar 2001",""
"AF.341","Oral Presentation Skills (Business)","Oral Presskl (Bus)","26 Mar 2001",""
"AF.342","Visual Presentation Skills (Business)","Vis Presskl (Bus)","26 Mar 2001",""
"AF.35","Report Writing (Business)","Report Writing (Bus)","26 Mar 2001",""
"AF.351","Technical Report Writing (Business)","Tech Report Writing (Bus)","26 Mar 2001",""
"AF.36","Telephone Techniques (Business)","Tele Tech (Bus)","26 Mar 2001",""
"AF.4","Business Interpersonal Skills","Bus Interpersskl","26 Mar 2001",""
"AF.41","Assertiveness (Business)","Assertiveness (Bus)","26 Mar 2001",""
"AF.42","Conflict Management (Business)","Conflict Mngm (Bus)","26 Mar 2001",""
"AF.43","Interviewing (Business)","Interviewing (Bus)","26 Mar 2001",""
"AF.44","Negotiating Skills (Business)","Negotiatingskl (Bus)","26 Mar 2001",""
"AF.45","Racism Awareness (Business)","Racism Awrn (Bus)","26 Mar 2001",""
"AF.46","Sexism Awareness (Business)","Sexism Awrn (Bus)","26 Mar 2001",""
"AF.47","Counselling (Business)","Cnslg (Bus)","26 Mar 2001",""
"AF.48","Teamworking","Teamwrk","26 Mar 2001",""
"AF.49","Disability Awareness (Business)","Disability Awrn (Bus)","26 Mar 2001",""
"AF.5","Team Building Skills","Team Bldgskl","26 Mar 2001",""
"AF.51","Delegating","Delegating","26 Mar 2001",""
"AF.52","Motivating","Motivating","26 Mar 2001",""
"AF.53","Leadership","Leadership","26 Mar 2001",""
"AF.54","Influencing Skills","Influencingskl","26 Mar 2001",""
"AF.55","Team Briefing","Team Briefing","26 Mar 2001",""
"AF.6","Meetings / Conferences / Events","Meetings/ Conferences/ Events","26 Mar 2001",""
"AF.61","Committee Work","Committee Wrk","26 Mar 2001",""
"AF.62","Conference Programme Organisation","Conference Prog Org","26 Mar 2001",""
"AF.63","Meetings Organisation","Meetings Org","26 Mar 2001",""
"AF.64","Minute Taking","Minute Taking","26 Mar 2001",""
"AF.65","Events Management","Events Mngm","26 Mar 2001",""
"AF.7","Decision Making Skills","Decision Makingskl","26 Mar 2001",""
"AF.71","Brainstorming / Creative Thinking (Business)","Brnstrm/ Crtv Thnk (Bus)","26 Mar 2001",""
"AF.72","Prioritising","Prioritising","26 Mar 2001",""
"AF.73","Problem Solving","Prob Solving","26 Mar 2001",""
"AF.8","Supervisory Skills","Supervisoryskl","26 Mar 2001",""
"AG.","Management Planning and Control Systems","Mngm Plan & Cont Sys","26 Mar 2001",""
"AG.1","Management Planning","Mngm Plan","26 Mar 2001",""
"AG.11","Policy / Strategic Planning","Policy/ Strat Plan","26 Mar 2001",""
"AG.12","Management By Objectives","Mngm By Objectives","26 Mar 2001",""
"AG.13","Management Of Change and Innovation","Mngm Of Change & Innov","26 Mar 2001",""
"AG.14","Management Audit","Mngm Audit","26 Mar 2001",""
"AG.2","Business Modelling / Analysis","Bus Modelling/ Anlys","26 Mar 2001",""
"AG.21","Critical Path Analysis","Critical Path Anlys","26 Mar 2001",""
"AG.22","Decision Systems / Theory","Decision Sys/ Theory","26 Mar 2001",""
"AG.23","Network Analysis","Nwrk Anlys","26 Mar 2001",""
"AG.24","Quantitative Business Analysis","Quantitative Bus Anlys","26 Mar 2001",""
"AG.26","Risk Analysis","Risk Anlys","26 Mar 2001",""
"AG.27","Value Analysis","Value Anlys","26 Mar 2001",""
"AG.3","Business Forecasting","Bus Forecasting","26 Mar 2001",""
"AG.4","Business Mathematics / Statistics","Bus Maths/ Stats","26 Mar 2001",""
"AG.41","Business Mathematics","Bus Maths","26 Mar 2001",""
"AG.42","Business Statistics","Bus Stats","26 Mar 2001",""
"AG.6","Project Management (Business / Industry)","Proj Mngm (Bus/ Ind)","26 Mar 2001",""
"AG.61","Project Management Methodologies","Proj Mngm Mthologies","11 Dec 2006",""
"AG.611","Dynamic Systems Development Methodology (Dsdm)","Dynamic Sys Dev Meth (Dsdm)","11 Dec 2006",""
"AG.612","Prince2","Prince2","11 Dec 2006",""
"AG.613","Structured Systems Analysis and Design Method (Ssadm)","Strcd Sys Anlys & Des Mth (Ssadm)","11 Dec 2006",""
"AG.7","Business Control Systems","Bus Cont Sys","26 Mar 2001",""
"AG.71","Management Control Techniques","Mngm Cont Tech","26 Mar 2001",""
"AG.8","Risk Management","Risk Mngm","26 Mar 2001",""
"AG.82","Disaster Mitigation","Disaster Mitigation","26 Mar 2001",""
"AG.83","Emergency Planning (Business)","Emrgn Plan (Bus)","26 Mar 2001",""
"AJ.","Human Resources Management","Human Ress Mngm","26 Mar 2001",""
"AJ.2","Personnel Administration","Personnel Admin","26 Mar 2001",""
"AJ.22","Conditions Of Employment","Cond Of Emp","26 Mar 2001",""
"AJ.221","Equal Opportunities","Equal Opps","26 Mar 2001",""
"AJ.222","Contracts Of Employment","Contracts Of Emp","26 Mar 2001",""
"AJ.23","Disciplinary Procedures","Disciplinary Procs","26 Mar 2001",""
"AJ.24","Employment Termination Procedures","Emp Termination Procs","26 Mar 2001",""
"AJ.241","Dismissal Procedures","Dismissal Procs","26 Mar 2001",""
"AJ.242","Outplacement Procedures","Outplacement Procs","26 Mar 2001",""
"AJ.243","Redundancy Procedures","Redundancy Procs","26 Mar 2001",""
"AJ.25","Payroll (Personnel Administration)","Payroll (Personnel Admin)","26 Mar 2001",""
"AJ.26","Staff Welfare Services","Staff Welfare Svc","26 Mar 2001",""
"AJ.3","Industrial Relations","Ind Relations","26 Mar 2001",""
"AJ.31","Trade Union Representatives","Trade Un Reps","26 Mar 2001",""
"AJ.4","Recruitment / Selection","Recruitment/ Selection","26 Mar 2001",""
"AJ.41","Job Analysis Description and Advertising","Job Anlys Desc & Advrt","26 Mar 2001",""
"AJ.42","Job Applicant Assessment","Job Applicant Assm","26 Mar 2001",""
"AJ.43","Selection Interviewing","Selection Interviewing","26 Mar 2001",""
"AJ.5","Staff Performance / Development","Staff Perf/ Dev","26 Mar 2001",""
"AJ.51","Job Evaluation","Job Eval","26 Mar 2001",""
"AJ.52","Performance Appraisal","Perf Appraisal","26 Mar 2001",""
"AJ.53","Training Administration (Inhouse)","Train Admin (Inhouse)","26 Mar 2001",""
"AJ.54","Work Enrichment","Wrk Enrichment","26 Mar 2001",""
"AJ.55","Absenteeism","Absenteeism","26 Mar 2001",""
"AJ.7","Work Study","Wrk Study","26 Mar 2001",""
"AJ.71","Organisation and Methods","Org & Mth","26 Mar 2001",""
"AJ.72","Time and Motion Study","Time & Motion Study","26 Mar 2001",""
"AJ.8","Remote Work","Remote Wrk","26 Mar 2001",""
"AK.","Financial Management / Accounting","Fin Mngm/ Accnt","26 Mar 2001",""
"AK.1","Finance / Accounting (General)","Fin/ Accnt (Gen)","26 Mar 2001",""
"AK.11","Finance / Accounting For Non-Financial Managers","Fin/ Accnt For Non-Fin Mngrs","26 Mar 2001",""
"AK.12","Insolvency / Bankruptcy Procedures","Insolvency/ Bankruptcy Procs","11 Dec 2006",""
"AK.2","Financial Management","Fin Mngm","26 Mar 2001",""
"AK.23","Financial Planning","Fin Plan","26 Mar 2001",""
"AK.231","Cash Flow Planning","Cash Flow Plan","26 Mar 2001",""
"AK.232","Financial Decision Making","Fin Decision Making","26 Mar 2001",""
"AK.24","Resource Management","Res Mngm","26 Mar 2001",""
"AK.25","Financial Analysis","Fin Anlys","26 Mar 2001",""
"AK.251","Financial Modelling","Fin Modelling","26 Mar 2001",""
"AK.3","Financial Control","Fin Cont","26 Mar 2001",""
"AK.32","Budgetary Control","Budgetary Cont","26 Mar 2001",""
"AK.33","Cost Management","Cost Mngm","26 Mar 2001",""
"AK.4","Credit Management","Cred Mngm","26 Mar 2001",""
"AK.42","Debt Collection","Debt Coll","26 Mar 2001",""
"AK.43","Credit Control","Cred Cont","26 Mar 2001",""
"AK.5","Finance Raising","Fin Rais","26 Mar 2001",""
"AK.51","Asset Financing","Asset Financing","26 Mar 2001",""
"AK.52","Bank Loans","Bank Loans","26 Mar 2001",""
"AK.53","Leasing (Business)","Leasing (Bus)","26 Mar 2001",""
"AK.54","Mortgaging (Business)","Mortgaging (Bus)","26 Mar 2001",""
"AK.55","Venture Capital","Venture Capital","26 Mar 2001",""
"AK.6","Accounting","Accnt","26 Mar 2001",""
"AK.62","Auditing","Auditing","26 Mar 2001",""
"AK.621","Auditing (External)","Auditing (Ext)","26 Mar 2001",""
"AK.623","Internal Auditing","Int Auditing","26 Mar 2001",""
"AK.63","Tax Accounting","Tax Accnt","26 Mar 2001",""
"AK.631","Vat Accounting","Vat Accnt","26 Mar 2001",""
"AK.632","Income Tax Accounting","Income Tax Accnt","26 Mar 2001",""
"AK.633","Corporation Tax Accounting","Corp Tax Accnt","26 Mar 2001",""
"AK.634","Property Tax Accounting","Prop Tax Accnt","26 Mar 2001",""
"AK.635","Inheritance Tax Accounting","Inheritance Tax Accnt","26 Mar 2001",""
"AK.64","Cost / Management Accounting","Cost/ Mngm Accnt","26 Mar 2001",""
"AK.641","Cost Accounting","Cost Accnt","26 Mar 2001",""
"AK.642","Management Accounting","Mngm Accnt","26 Mar 2001",""
"AK.7","Public Finance","Pub Fin","26 Mar 2001",""
"AK.71","Taxation (National) Administration","Taxation (Nat) Admin","26 Mar 2001",""
"AK.72","Taxation (Local) Administration","Taxation (Local) Admin","26 Mar 2001",""
"AK.8","Bookkeeping","Bookkeep","26 Mar 2001",""
"AK.82","Purchase Ledger","Purchase Ledger","26 Mar 2001",""
"AK.83","Sales Ledger","Sales Ledger","26 Mar 2001",""
"AK.85","Payroll (Accounting)","Payroll (Accnt)","26 Mar 2001",""
"AK.9","Cashiers Work","Cashiers Wrk","26 Mar 2001",""
"AK.91","Cash Handling / Collection","Cash Hnd/ Coll","26 Mar 2001",""
"AL.","Financial Services","Fin Svc","26 Mar 2001",""
"AL.2","Banking","Banking","26 Mar 2001",""
"AL.22","Merchant Banking","Merchant Banking","26 Mar 2001",""
"AL.23","International Banking","Int Banking","26 Mar 2001",""
"AL.24","Building Societies","Bldg Soc","26 Mar 2001",""
"AL.25","Credit Unions","Cred Uns","26 Mar 2001",""
"AL.3","Money Stock Securities and Commodity Market Services","Money Stock Sec & Comm Mkt Svc","26 Mar 2001",""
"AL.31","Stock Market Services","Stock Mkt Svc","26 Mar 2001",""
"AL.32","Money Market Services","Money Mkt Svc","26 Mar 2001",""
"AL.33","Foreign Exchange Market Services","Frgn Exch Mkt Svc","26 Mar 2001",""
"AL.34","Commodity Market Services","Comm Mkt Svc","26 Mar 2001",""
"AL.35","Securities Market Services","Sec Mkt Svc","26 Mar 2001",""
"AL.5","Insurance","Ins","26 Mar 2001",""
"AL.51","Actuarial Science","Actuarial Sci","26 Mar 2001",""
"AL.6","Investment Management","Inv Mngm","26 Mar 2001",""
"AL.61","Financial Services Act","Fin Svc Act","26 Mar 2001",""
"AL.62","Pension Fund Management","Pension Fund Mngm","26 Mar 2001",""
"AL.63","Financial Consultancy Practice","Fin Cons Prac","26 Mar 2001",""
"AL.64","Property Investment","Prop Inv","26 Mar 2001",""
"AM.","Call Centres","Call Centres","26 Mar 2001",""
"AM.1","Call Centre Management","Call Centre Mngm","26 Mar 2001",""
"AM.2","Call Centre Skills","Call Centreskl","26 Mar 2001",""
"AY.","Office Skills / Administration","Officeskl/ Admin","26 Mar 2001",""
"AY.4","Office Filing","Office Filing","26 Mar 2001",""
"AY.5","Business Documentation / Record-Keeping","Bus Doc/ Record-Keep","26 Mar 2001",""
"AY.6","Business Correspondence (Clerical Work)","Bus Corr (Clerical Wrk)","26 Mar 2001",""
"AY.7","Reception / Telephone Switchboard Work","Recep/ Tele Switchbrd Wrk","26 Mar 2001",""
"AY.71","Telephonists Work","Telephonists Wrk","26 Mar 2001",""
"AY.72","Reception (Business)","Recep (Bus)","26 Mar 2001",""
"AY.8","Office Technology Skills","Office Techskl","26 Mar 2001",""
"AY.83","Fax / Telex Operation","Fax/ Telex Op","26 Mar 2001",""
"AY.84","Electronic Mail (Office Use)","Elec Mail (Office Use)","26 Mar 2001",""
"AY.85","Office Copying","Office Copying","26 Mar 2001",""
"AZ.","Typewriting / Shorthand / Secretarial Skills","Typw/ Shrth/ Secskl","26 Mar 2001",""
"AZ.1","Secretarial Skills","Secskl","26 Mar 2001",""
"AZ.13","Secretarial / Linguist","Sec/ Linguist","26 Mar 2001",""
"AZ.131","Secretarial / Bilingual","Sec/ Bilingual","26 Mar 2001",""
"AZ.2","Secretarial Skills Specific Occupations","Secskl Spec Occs","26 Mar 2001",""
"AZ.21","Medical Secretarial Work","Medic Sec Wrk","26 Mar 2001",""
"AZ.22","Legal Secretarial Work","Legal Sec Wrk","26 Mar 2001",""
"AZ.3","Personal Assistant Skills","Pers Assskl","26 Mar 2001",""
"AZ.4","Shorthand","Shrth","26 Mar 2001",""
"AZ.41","Shorthand Specific Methods","Shrth Spec Mth","26 Mar 2001",""
"AZ.411","Pitman Shorthand","Pitman Shrth","26 Mar 2001",""
"AZ.412","Speedwriting","Speedwriting","26 Mar 2001",""
