"MI_NotionalNVQLevelv2","MI_NotionalNVQLevelv2Desc","MI_NotionalNVQLevelv2Desc2","EffectiveFrom","EffectiveTo"
"-1.00","Unknown","Unknown","01 Aug 2013",""
"0.00","Entry Level","Entry","01 Aug 2004",""
"1.00","Level 1","Level 1","01 Aug 2004",""
"1.50","Level 1/2","Level 1/2","01 Aug 2013",""
"2.00","Level 2","Level 2","01 Aug 2004",""
"3.00","Level 3","Level 3","01 Aug 2004",""
"4.00","Level 4","Level 4","01 Aug 2004",""
"5.00","Level 5","Level 5","01 Aug 2004",""
"6.00","Level 6","Level 6","01 Aug 2004",""
"7.00","Level 7","Level 7","01 Aug 2004",""
"8.00","Level 8","Level 8","01 Aug 2004",""
"9.00","Higher Level","Higher","01 Aug 2004",""
"99.00","Other Level","Other","01 Aug 2004",""
