"NotionalNVQLevelV2","NotionalNVQLevelV2Desc","NotionalNVQLevelV2Desc2","EffectiveFrom","EffectiveTo"
"1","Level 1","Level 1","01 Jan 2004",""
"1.5","Level 1/2","Level 1/2","01 Aug 2013",""
"2","Level 2","Level 2","01 Jan 2004",""
"3","Level 3","Level 3","01 Jan 2004",""
"4","Level 4","Level 4","01 Jan 2004",""
"5","Level 5","Level 5","01 Jan 2004",""
"6","Level 6","Level 6","01 Jan 2004",""
"7","Level 7","Level 7","01 Jan 2004",""
"8","Level 8","Level 8","01 Jan 2004",""
"E","Entry Level","Entry Level","01 Jan 2004",""
"H","Higher Level","Higher Level","01 Jan 2004",""
"M","Mixed Level","Mixed Level","01 Jan 2004",""
"X","Not Applicable/ Not Known","Not App/ Known","01 Jan 2004",""
