"ProgType","ProgTypeDesc","ProgTypeDesc2","EffectiveFrom","EffectiveTo"
"-2","Not Applicable","Not App","01 Aug 2008",""
"-1","Unknown","Unknown","01 Aug 2001","31 Jul 2013"
"1","Life Skills","Life Skills","01 Aug 2001","31 Jul 2013"
"2","Advanced Apprenticeship (Level 3)","Adv App Lvl 3","01 Aug 2008",""
"3","Intermediate Apprenticeship (Level 2)","Int App Lvl 2","01 Aug 2008",""
"4","NVQ Level 1 (19 and over only)","NVQ 1","01 Aug 2001","31 Jul 2013"
"5","NVQ Level 2","NVQ 2","01 Aug 2001","31 Jul 2013"
"6","NVQ Level 3","NVQ 3","01 Aug 2001","31 Jul 2013"
"7","NVQ Level 4","NVQ 4","01 Aug 2001","31 Jul 2013"
"8","Preparatory Learning","Prep Lrn","01 Aug 2001","31 Jul 2013"
"9","Entry to Employment (E2E)","E2E","01 Aug 2001","31 Jul 2013"
"10","Higher Level Apprenticeship","HL App","01 Aug 2008",""
"11","Progression Pathway to a Level 2 Apprenticeship Framework","Prg Pth L2 App","01 Aug 2008","31 Jul 2013"
"12","Progression Pathway to a first full Level 2 (In The QCF)","Prg Pth 1st Full L2","01 Aug 2008","31 Jul 2013"
"13","Progression Pathway to independent living or supported employment","Prg Pth Indep Lvg","01 Aug 2008","31 Jul 2013"
"14","Progression Pathway to a Foundation (Level 1) Diploma or GCSEs","Prg Pth F Dip GCSE","01 Aug 2008","31 Jul 2013"
"15","Diploma Level 1 (Foundation)","Dip L1 Found","01 Aug 2008",""
"16","Diploma Level 2 (Higher)","Dip L2 High","01 Aug 2008",""
"17","Diploma Level 3 (Progression)","Dip L3 Prog","01 Aug 2008",""
"18","Diploma Level 3 (Advanced)","Dip L4 Adv","01 Aug 2008",""
"19","Foundation Learning Programme","Found Lrng Prog","20 May 2010","31 Jul 2013"
"20","Higher Apprenticeship (Level 4)","Hgh App Lvl 4","01 Aug 2011",""
"21","Higher Apprenticeship (Level 5)","Hgh App Lvl 5","01 Aug 2011",""
"22","Higher Apprenticeship (Level 6)","Hgh App Lvl 6","01 Aug 2013",""
"23","Higher Apprenticeship (Level 7+)","Hgh App Lvl 7+","01 Aug 2013",""
"24","Traineeship","Traineeship","01 Aug 2014",""
"25","Apprenticeship Standard","Apprenticeship Standard","01 Aug 2015",""
"30","T Level Transition","T Level Transition","01 Aug 2019",""
"31","T Level","T Level","01 Aug 2019",""
"99","None Of The Above","None","01 Aug 2008",""
