"LearnAimRef","EffectiveFrom","EffectiveTo","Section96ApprovalStatus","Section96ApprovalStartDate","Section96ReviewDate","Section96ValidPre16","Section96Valid16to18","Section96Valid18plus","Created_On","Created_By","Modified_On","Modified_By"
"00301061","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","16 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301062","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","16 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301063","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","16 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301064","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","16 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301065","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","16 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301066","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","16 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301067","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","17 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301068","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","17 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301069","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","17 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301070","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","17 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301071","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","17 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301072","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","17 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301073","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301074","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301075","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301076","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301077","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301078","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301079","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301080","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301081","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301082","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301083","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301084","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301085","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301086","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301087","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301088","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301089","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301090","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301091","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301092","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301093","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","18 Jun 2015","VIJAYDEK","02 Jul 2019","SGUINIVAN"
"00301094","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","19 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301095","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","19 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301096","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","19 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301097","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","19 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301098","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","19 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
"00301099","01 Aug 2014","01 Aug 2014","-2","01 Jan 1900","","0","0","0","19 Jun 2015","guinivas","02 Jul 2019","SGUINIVAN"
