"StandardCode","LearnAimRef","EffectiveFrom","EffectiveTo","StandardComponentType","Created_On","Created_By","Modified_On","Modified_By"
"1","Z0001946","01 Aug 2014","31 Dec 2600","-2","02 Jul 2019","KFISHER","02 Jul 2019","KFISHER"
"2","Z0001947","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"5","Z0001890","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"6","Z0001890","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"7","Z0002074","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"8","Z0001924","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"9","Z0002041","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"10","Z0002041","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"11","Z0002041","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"12","Z0002041","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"14","Z0001891","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"15","Z0001891","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"16","Z0001890","01 Aug 2014","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"17","Z0001974","26 Mar 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"18","Z0001979","26 Mar 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"19","Z0001879","26 Mar 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"20","Z0001929","26 Mar 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"21","Z0001836","26 Mar 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"22","Z0001906","26 Mar 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"23","Z0001844","26 Mar 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"24","Z0001890","26 Mar 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"25","Z0002046","26 Mar 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"26","Z0001840","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"27","Z0001890","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"28","Z0001874","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"29","Z0001874","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"30","Z0001974","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"31","Z0001924","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"32","Z0001924","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"33","Z0001924","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"34","Z0001842","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"35","Z0001940","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"36","Z0001882","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"37","Z0002040","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"38","Z0002040","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"39","Z0001978","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"40","Z0002078","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"41","Z0002078","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"42","Z0001928","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"43","Z0009120","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"45","Z0001894","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"46","Z0001830","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"47","Z0002040","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"48","Z0001974","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"49","Z0001890","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"50","Z0002044","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"51","Z0001894","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"53","Z0001890","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"54","Z0001851","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"55","Z0002076","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"57","Z0001890","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"58","Z0001840","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"59","Z0001892","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"60","Z0001924","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"61","Z0001881","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"62","Z0001924","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
"63","Z0001974","01 Aug 2015","31 Dec 2600","-2","23 Jul 2019","KTEMPERLEY","23 Jul 2019","KTEMPERLEY"
