"StandardCode","CommonComponent","EffectiveFrom","EffectiveTo","MinLevel","Created_On","Created_By","Modified_On","Modified_By"
"1","10","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"1","11","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"1","20","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"1","30","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"1","31","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"1","35","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"1","36","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"2","10","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"2","11","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"2","20","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"2","30","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"2","31","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"2","35","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"2","36","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"5","10","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"5","11","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"5","20","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"5","30","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"5","31","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"5","35","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"5","36","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"6","10","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"6","11","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"6","20","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"6","30","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"6","31","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"6","35","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"6","36","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"7","10","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"7","11","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"7","20","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"7","30","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"7","31","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"7","35","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"7","36","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
"8","10","01 May 2017","","0","13 Apr 2017","fisherk","13 Apr 2017","fisherk"
