"StandardCode","ValidityCategory","StartDate","LastNewStartDate","EndDate","Created_On","Created_By","Modified_On","Modified_By"
"1","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"2","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"3","Standard_Trailblazer","01 Aug 2014","31 Mar 2017","31 Mar 2017","09 Jul 2015","goodmand","07 Apr 2017","BYWATERA"
"4","Standard_Trailblazer","01 Aug 2014","31 Mar 2017","31 Mar 2017","09 Jul 2015","goodmand","07 Apr 2017","BYWATERA"
"5","Standard_Trailblazer","01 Aug 2015","","","16 Sep 2015","fisherk","16 Sep 2015","fisherk"
"6","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"7","Standard_Trailblazer","01 Aug 2014","01 Apr 2020","","09 Jul 2015","goodmand","09 Mar 2020","KTEMPERLEY"
"8","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"9","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"10","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"11","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","goodmand","14 Sep 2016","goodmand"
"12","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","goodmand","14 Sep 2016","goodmand"
"13","Standard_Trailblazer","01 Aug 2014","31 Mar 2017","31 Mar 2017","09 Jul 2015","goodmand","07 Apr 2017","BYWATERA"
"14","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","GOODMAND","09 Jul 2015","GOODMAND"
"15","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","GOODMAND","09 Jul 2015","GOODMAND"
"16","Standard_Trailblazer","01 Aug 2014","","","09 Jul 2015","GOODMAND","09 Jul 2015","GOODMAND"
"17","Standard_Trailblazer","26 Mar 2015","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"18","Standard_Trailblazer","26 Mar 2015","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"19","Standard_Trailblazer","26 Mar 2015","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"20","Standard_Trailblazer","26 Mar 2015","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"21","Standard_Trailblazer","26 Mar 2015","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"22","Standard_Trailblazer","26 Mar 2015","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"23","Standard_Trailblazer","26 Mar 2015","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"24","Standard_Trailblazer","26 Mar 2015","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"25","Standard_Trailblazer","26 Mar 2015","","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"26","Standard_Trailblazer","01 Aug 2015","","","03 Sep 2015","fisherk","03 Sep 2015","fisherk"
"27","Standard_Trailblazer","01 Aug 2015","","","03 Sep 2015","fisherk","03 Sep 2015","fisherk"
"28","Standard_Trailblazer","01 Aug 2015","","","03 Sep 2015","fisherk","03 Sep 2015","fisherk"
"29","Standard_Trailblazer","01 Aug 2015","","","03 Sep 2015","fisherk","03 Sep 2015","fisherk"
