"SuccessRateMapCode","SuccessRateMapCodeDesc","SuccessRateMapCodeDesc2","EffectiveFrom","EffectiveTo"
"B0110434","Foundation Diploma in Society, Health and Development (14-19 Diploma)","Fnd Dip Soc, Hlth & Dev (14-19 Dip)","11 Sep 2009",""
"B0110435","Principal Learning in Society, Health and Development (Level 1) (14-19 Diploma)","Principal Lrn in Soc, Hlth & Dev (Lev 1) (14-19 Dip)","11 Sep 2009",""
"B0110436","Foundation Diploma in Public Services (14-19 Diploma)","Fnd Dip Pub Svc (14-19 Dip)","01 May 2010",""
"B0110437","Principal Learning in Public Services (Level 1) (14-19 Diploma)","Principal Lrn in Pub Svc (Lev 1) (14-19 Dip)","01 May 2010",""
"B0120328","GCSE Child Care Services","GCSE Child Cr Svc","24 Jul 2006",""
"B0120329","GCSE Cleansing","GCSE Clns","24 Jul 2006",""
"B0120330","GCSE Complementary Medicine","GCSE Complementary Medic","24 Jul 2006",""
"B0120331","GCSE Crisis Support/Counselling","GCSE Crisis Supp/ Cnslg","24 Jul 2006",""
"B0120332","GCSE Crisis Support/Counselling","GCSE Crisis Supp/ Cnslg","24 Jul 2006",""
"B0120333","GCSE Dental Services","GCSE Dent Svc","24 Jul 2006",""
"B0120334","GCSE Environmental Health/Safety","GCSE Enval Hlth/ Sfty","24 Jul 2006",""
"B0120335","GCSE Family and Community Care (20878)","GCSE Fam & Comm Cr (20878)","24 Jul 2006",""
"B0120336","GCSE Family/Community Work","GCSE Fam/ Comm Wrk","24 Jul 2006",""
"B0120337","GCSE Fire Prevention/Fire Fighting","GCSE Fire Prevention/ Fire Fighting","24 Jul 2006",""
"B0120338","GCSE Health and Social Care (Double Award)","GCSE Hlth & Soc Cr (Double Award)","24 Jul 2006",""
"B0120339","GCSE Health Studies","GCSE Hlth Stud","24 Jul 2006",""
"B0120340","GCSE Home Economics: Child Development","GCSE Home Econ Child Dev","24 Jul 2006",""
"B0120341","GCSE Medical Sciences","GCSE Medic Scis","24 Jul 2006",""
"B0120342","GCSE Medical Technology/Pharmacology","GCSE Medic Tech/ Pharmacology","24 Jul 2006",""
"B0120343","GCSE Nursing","GCSE Nrsg","24 Jul 2006",""
"B0120344","GCSE Occupational Health And Safety","GCSE Occal Hlth & Sfty","24 Jul 2006",""
"B0120345","GCSE Ophthalmic Services","GCSE Ophthalmic Svc","24 Jul 2006",""
"B0120346","GCSE Paramedical Services/Supplementary Medicine","GCSE ParaMedic Svc/ Supp Medic","24 Jul 2006",""
"B0120347","GCSE Security","GCSE Sec","24 Jul 2006",""
"B0120348","GCSE Semi-Medical/Physical/Psycho/Therapies","GCSE Semi-Medic/ Phys/ Psycho/ Thrp","24 Jul 2006",""
"B0120349","GCSE Social Care/Social Work Skills","GCSE Soc Cr/ Soc WrkSkl","24 Jul 2006",""
"B0120350","GCSE Community Care","GCSE Comm Cr","24 Jul 2006",""
"B0120351","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B0120735","GCSE Care in Action","GCSE Cr in Action","24 Jul 2006",""
"B0120736","GCSE Principles and Practice of Caring","GCSE Principles & Prac of Caring","24 Jul 2006",""
"B0120737","GCSE Science: Medical (NEAB)","GCSE Sci Medic (NEAB)","24 Jul 2006",""
"B0120765","GCSE Personal and Community Service (30160)","GCSE Pers & Comm Svce (30160)","24 Jul 2006",""
"B0120815","GCSE in Health and Social Care","GCSE in Hlth & Soc Cr","11 Dec 2008",""
"B0120816","Higher Diploma in Society, Health and Development (14-19 Diploma)","Hi Dip Soc, Hlth & Dev (14-19 Dip)","11 Sep 2009",""
"B0120817","Principal Learning in Society, Health and Development (Level 2) (14-19 Diploma)","Principal Lrn in Soc, Hlth & Dev (Lev 2) (14-19 Dip)","11 Sep 2009",""
"B0120818","Higher Diploma in Public Services (14-19 Diploma)","Hi Dip Pub Svc (14-19 Dip)","01 May 2010",""
"B0120819","Principal Learning in Public Services (Level 2) (14-19 Diploma)","Principal Lrn in Pub Svc (Lev 2) (14-19 Dip)","01 May 2010",""
"B0130500","GCE A Level Child Care Services","GCE A Lev Child Cr Svc","24 Jul 2006",""
"B0130501","GCE A Level Cleansing","GCE A Lev Clns","24 Jul 2006",""
"B0130502","GCE A Level Complementary Medicine","GCE A Lev Complementary Medic","24 Jul 2006",""
"B0130503","GCE A Level Crisis Support/Counselling","GCE A Lev Crisis Supp/ Cnslg","24 Jul 2006",""
"B0130504","GCE A Level Dental Services","GCE A Lev Dent Svc","24 Jul 2006",""
"B0130505","GCE A Level Environmental Health/Safety","GCE A Lev Enval Hlth/ Sfty","24 Jul 2006",""
"B0130506","GCE A Level Family Care/Personal Development/Personal Care And Appearance","GCE A Lev Fam Cr/ Pers Dev/ Crr & App","24 Jul 2006",""
"B0130507","GCE A Level Family/Community Work","GCE A Lev Fam/ Comm Wrk","24 Jul 2006",""
"B0130508","GCE A Level Fire Prevention/Fire Fighting","GCE A Lev Fire Prevention/ Fire Fighting","24 Jul 2006",""
"B0130509","GCE A Level Public Affairs (formerly UCLES)","GCE A Lev Pub Affairs (Frmly UCLES)","24 Jul 2006",""
"B0130510","GCE A Level Health Care Management/ Health Studies","GCE A Lev Hlth Cr Mngm/ Hlth Stud","24 Jul 2006",""
"B0130511","GCE A Level Medical Sciences","GCE A Lev Medic Scis","24 Jul 2006",""
"B0130512","GCE A Level Medical Technology/Pharmacology","GCE A Lev Medic Tech/ Pharmacology","24 Jul 2006",""
"B0130513","GCE A Level Nursing","GCE A Lev Nrsg","24 Jul 2006",""
"B0130514","GCE A Level Occupational Health And Safety","GCE A Lev Occal Hlth & Sfty","24 Jul 2006",""
"B0130515","GCE A Level Ophthalmic Services","GCE A Lev Ophthalmic Svc","24 Jul 2006",""
"B0130516","GCE A Level Paramedical Services/Supplementary Medicine","GCE A Lev ParaMedic Svc/ Supp Medic","24 Jul 2006",""
"B0130517","GCE A Level Security","GCE A Lev Sec","24 Jul 2006",""
"B0130518","GCE A Level Semi-Medical/Physical/Psycho/Therapies","GCE A Lev Semi-Medic/ Phys/ Psycho/ Thrp","24 Jul 2006",""
"B0130519","GCE A Level Social Care/Social Work Skills","GCE A Lev Soc Cr/ Soc WrkSkl","24 Jul 2006",""
"B0130520","GCE A Level Social Policy","GCE A Lev Soc Policy","24 Jul 2006",""
"B0130521","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B0130522","GCE A2 Level Social Policy","GCE A2 Lev Soc Policy","24 Jul 2006",""
"B0130523","GCE AS Level Child Care Services","GCE AS Lev Child Cr Svc","24 Jul 2006",""
"B0130524","GCE AS Level Cleansing","GCE AS Lev Clns","24 Jul 2006",""
"B0130525","GCE AS Level Complementary Medicine","GCE AS Lev Complementary Medic","24 Jul 2006",""
"B0130526","GCE AS Level Crisis Support/Counselling","GCE AS Lev Crisis Supp/ Cnslg","24 Jul 2006",""
"B0130527","GCE AS Level Dental Services","GCE AS Lev Dent Svc","24 Jul 2006",""
"B0130528","GCE AS Level Environmental Health/Safety","GCE AS Lev Enval Hlth/ Sfty","24 Jul 2006",""
"B0130529","GCE AS Level Family Care/Personal Development/Personal Care And Appearance","GCE AS Lev Fam Cr/ Pers Dev/ Crr & App","24 Jul 2006",""
"B0130530","GCE AS Level Family/Community Work","GCE AS Lev Fam/ Comm Wrk","24 Jul 2006",""
"B0130531","GCE AS Level Fire Prevention/Fire Fighting","GCE AS Lev Fire Prevention/ Fire Fighting","24 Jul 2006",""
"B0130532","GCE AS Level Health Care Management/ Health Studies","GCE AS Lev Hlth Cr Mngm/ Hlth Stud","24 Jul 2006",""
"B0130533","GCE AS Level Medical Sciences","GCE AS Lev Medic Scis","24 Jul 2006",""
"B0130534","GCE AS Level Medical Technology/Pharmacology","GCE AS Lev Medic Tech/ Pharmacology","24 Jul 2006",""
"B0130535","GCE AS Level Nursing","GCE AS Lev Nrsg","24 Jul 2006",""
"B0130536","GCE AS Level Occupational Health And Safety","GCE AS Lev Occal Hlth & Sfty","24 Jul 2006",""
"B0130537","GCE AS Level Ophthalmic Services","GCE AS Lev Ophthalmic Svc","24 Jul 2006",""
"B0130538","GCE AS Level Paramedical Services/Supplementary Medicine","GCE AS Lev ParaMedic Svc/ Supp Medic","24 Jul 2006",""
"B0130539","GCE AS Level Security","GCE AS Lev Sec","24 Jul 2006",""
"B0130540","GCE AS Level Semi-Medical/Physical/Psycho/Therapies","GCE AS Lev Semi-Medic/ Phys/ Psycho/ Thrp","24 Jul 2006",""
"B0130541","GCE AS Level Social Care/Social Work Skills","GCE AS Lev Soc Cr/ Soc WrkSkl","24 Jul 2006",""
"B0130542","GCE AS Level Social Policy","GCE AS Lev Soc Policy","24 Jul 2006",""
"B0130860","GCE A Level in Health and Social Care","GCE A Lev in Hlth & Soc Cr","24 Jul 2006",""
"B0130861","GCE AS Level in Health and Social Care","GCE AS Lev in Hlth & Soc Cr","24 Jul 2006",""
"B0130862","GCE AS Level in Health and Social Care (Double Award)","GCE AS Lev in Hlth & Soc Cr (Double Award)","24 Jul 2006",""
"B0130890","GCE A2 Level in Health and Social Care","GCE A2 Lev in Hlth & Soc Cr","18 Jan 2008",""
"B0130891","GCE A2 Level in Health and Social Care (Double Award)","GCE A2 Lev in Hlth & Soc Cr (Double Award)","18 Jan 2008",""
"B0131021","Advanced Diploma in Society, Health and Development (14-19 Diploma)","Adv Dip Soc, Hlth & Dev (14-19 Dip)","11 Sep 2009",""
"B0131022","Progression Diploma in Society, Health and Development (14-19 Diploma)","Prg Dip Soc, Hlth & Dev (14-19 Dip)","11 Sep 2009",""
"B0131023","Principal Learning in Society, Health and Development (Level 3) (14-19 Diploma)","Principal Lrn in Soc, Hlth & Dev (Lev 3) (14-19 Dip)","11 Sep 2009",""
"B0131024","Advanced Diploma in Public Services (14-19 Diploma)","Adv Dip Pub Svc (14-19 Dip)","01 May 2010",""
"B0131025","Progression Diploma in Public Services (14-19 Diploma)","Prg Dip Pub Svc (14-19 Dip)","01 May 2010",""
"B0131026","Principal Learning in Public Services (Level 3) (14-19 Diploma)","Principal Lrn in Pub Svc (Lev 3) (14-19 Dip)","01 May 2010",""
"B0210057","Foundation Diploma in Science (14-19 Diploma)","Fnd Dip Sci (14-19 Dip)","01 Nov 2010",""
"B0210058","Principal Learning in Science (14-19 Diploma)","Principal Lrn in Sci (14-19 Dip)","01 Nov 2010",""
"B0220048","GCSE Additional Mathematics","GCSE Additional Maths","24 Jul 2006",""
"B0220049","GCSE Applied Life Sciences","GCSE Applied Life Scis","24 Jul 2006",""
"B0220051","GCSE Arithmetic","GCSE Arithmetic","24 Jul 2006",""
"B0220052","GCSE Astronomy","GCSE Astron","24 Jul 2006",""
"B0220053","GCSE Biochemistry","GCSE BioChem","24 Jul 2006",""
"B0220054","GCSE Biology","GCSE Biol","24 Jul 2006",""
"B0220055","GCSE Science: Chemistry","GCSE Sci Chem","24 Jul 2006",""
"B0220058","GCSE Botany","GCSE Botany","24 Jul 2006",""
"B0220059","GCSE Science: Physiology & Health","GCSE Sci Physiology & Hlth","24 Jul 2006",""
"B0220062","GCSE Earth Science","GCSE Earth Sci","24 Jul 2006",""
"B0220063","GCSE Ecology","GCSE Ecology","24 Jul 2006",""
"B0220064","GCSE Electronics (NEAB)","GCSE Elecs (NEAB)","24 Jul 2006",""
"B0220065","GCSE Geochemistry","GCSE GeoChem","24 Jul 2006",""
"B0220066","GCSE Geology","GCSE Geology","24 Jul 2006",""
"B0220067","GCSE Geometrical and Mechanical Drawing","GCSE Geometrical & Mech Drawing","24 Jul 2006",""
"B0220068","GCSE Home Economics: Child Development","GCSE Home Econ Child Dev","24 Jul 2006",""
"B0220069","GCSE Human Physiology and Health","GCSE Human Physiology & Hlth","24 Jul 2006",""
"B0220070","GCSE Hydrology","GCSE Hydrology","24 Jul 2006",""
"B0220071","GCSE in Additional Science","GCSE in Additional Sci","24 Jul 2006",""
"B0220072","GCSE in Science","GCSE in Sci","24 Jul 2006",""
"B0220075","GCSE in Statistics","GCSE in Stats","24 Jul 2006",""
"B0220076","GCSE in Mathematics","GCSE in Maths","24 Jul 2006",""
"B0220079","GCSE Meteorology","GCSE Meteorology","24 Jul 2006",""
"B0220080","GCSE Natural History","GCSE Ntrl Hist","24 Jul 2006",""
"B0220081","GCSE Oceanography","GCSE OceanoGrphy","24 Jul 2006",""
"B0220082","GCSE in Physics","GCSE in Phys","24 Jul 2006",""
"B0220085","GCSE Polymer Science/Technology","GCSE Polymer Sci/ Tech","24 Jul 2006",""
"B0220086","GCSE Psychology","GCSE Psych","24 Jul 2006",""
